Number,FantasyPosition,PlayerSeasonID,AuctionValue,AuctionValuePPR
67,OL,991315123,,
38,DB,991315124,,
86,TE,991315125,,
30,DB,991315126,,
38,DB,991321738,,
18,QB,991315127,,
18,QB,991340604,,
72,OL,991315128,,
72,OL,991340605,,
94,DL,991315129,,
15,WR,991315130,,
15,WR,991340606,,
19,P,991340607,,
19,P,991315131,,
16,QB,991315132,,
35,DB,991321739,,
79,OL,991315133,,
79,OL,991340608,,
21,DB,991321740,,
59,DL,991315134,,
33,RB,991315135,,
43,LB,991315136,,
43,LB,991340609,,
27,LB,991315137,,
82,WR,991315138,,
84,TE,991315139,,
84,TE,991340610,,
25,RB,991315140,,
25,RB,991340611,,
87,WR,991315141,,
10,WR,991340612,,
57,LB,991315142,,
20,DB,991315143,,
95,DL,991315144,,
95,DL,991340613,,
75,OL,991315145,,
75,OL,991340614,,
65,OL,991340615,,
65,OL,991315146,,
47,LB,991315147,,
47,LB,991340616,,
35,DB,991315148,,
26,WR,991315149,,
43,LS,991315150,,
27,K,991315151,,
20,WR,991340617,,
20,WR,991315152,,
35,RB,991315153,,
93,DL,991315154,,
33,DB,991315155,,
23,DB,991315156,,
48,TE,991315157,,
69,DL,991335780,,
64,OL,991305257,,
64,OL,991335781,,
62,OL,991335782,,
62,OL,991305258,,
91,DL,991335783,,
91,DL,991305259,,
34,RB,991305260,,
34,RB,991335784,,
75,OL,991335785,,
75,OL,991305261,,
70,DL,991305262,,
88,TE,991305263,,
88,TE,991335786,,
92,DL,991335787,,
92,DL,991305264,,
42,LB,991305265,,
42,LB,991335788,,
35,DB,991305266,,
87,TE,991305267,,
87,TE,991335789,,
86,TE,991305268,,
86,TE,991335790,,
61,OL,991335791,,
61,OL,991305269,,
53,LB,991305270,,
66,OL,991335792,,
89,TE,991335793,,
89,TE,991305271,,
6,QB,991305272,,
6,QB,991335794,,
41,DB,991305273,,
5,WR,991305274,,
5,WR,991335795,,
9,QB,991335796,,
9,QB,991305275,,
22,DB,991335797,,
22,DB,991305276,,
55,LB,991305277,,
55,LB,991335798,,
72,DL,991305278,,
4,QB,991305279,,
1,WR,991305280,,
1,WR,991335799,,
32,RB,991305281,,
24,DB,991305282,,
24,DB,991335800,,
98,DL,991335801,,
98,DL,991305283,,
96,DL,991305284,,
96,DL,991335802,,
58,DL,991335803,,
58,DL,991305285,,
2,K,991335804,,
2,K,991305286,,
56,DL,991305287,,
81,WR,991335805,,
81,WR,991305288,,
36,RB,991305289,,
23,DB,991335806,,
23,DB,991305290,,
60,OL,991305291,,
73,OL,991305292,,
29,DB,991305293,,
29,DB,991335807,,
26,DB,991335808,,
26,DB,991305294,,
51,DL,991305295,,
27,DB,991305296,,
27,DB,991335809,,
67,OL,991305297,,
48,LS,991305298,,
76,OL,991305299,,
19,WR,991305300,,
20,DB,991335810,,
20,DB,991305301,,
80,WR,991305302,,
80,WR,991335811,,
15,WR,991335812,,
15,WR,991305303,,
99,DL,991305304,,
99,DL,991335813,,
82,WR,991335814,,
82,WR,991305305,,
30,RB,991305306,,
30,RB,991335815,,
50,LB,991305307,,
50,LB,991335816,,
38,DB,991305308,,
38,DB,991335817,,
71,OL,991305309,,
71,OL,991335818,,
90,DL,991335819,,
90,DL,991305310,,
84,TE,991305311,,
28,DB,991305312,,
28,DB,991335820,,
49,LB,991335821,,
49,LB,991305313,,
8,P,991305314,,
8,P,991335822,,
93,DL,991335823,,
93,DL,991305315,,
43,DB,991305316,,
52,DL,991305317,,
18,WR,991305318,,
79,OL,991305319,,
33,DB,991305320,,
45,LB,991305321,,
65,OL,991335824,,
65,OL,991305322,,
66,OL,991305323,,
17,WR,991305324,,
37,DB,991305325,,
37,DB,991335825,,
39,DB,991305326,,
85,TE,991305327,,
85,TE,991335826,,
59,LB,991305328,,
25,RB,991335827,,
25,RB,991305329,,
97,DL,991335828,,
97,DL,991305330,,
63,OL,991335829,,
63,OL,991305331,,
44,LB,991305332,,
44,LB,991335830,,
94,DL,991305333,,
95,DL,991305334,,
95,DL,991335831,,
74,OL,991305335,,
74,OL,991335832,,
68,OL,991305336,,
14,WR,991305337,,
10,QB,991305338,,
16,WR,991305339,,
12,WR,991305340,,
77,OL,991305341,,
40,RB,991305342,,
46,LS,991305343,,
46,LS,991335833,,
47,DB,991305344,,
21,DB,991305345,,
15,QB,991335834,,
15,QB,991307399,,
7,K,991307400,,
75,OL,991307401,,
75,OL,991335835,,
93,DL,991335836,,
93,DL,991307402,,
71,OL,991307403,,
71,OL,991335837,,
2,WR,991335838,,
2,WR,991307404,,
78,OL,991307405,,
78,OL,991335839,,
96,DL,991335840,,
96,DL,991307406,,
95,DL,991335841,,
95,DL,991307407,,
85,TE,991307408,,
85,TE,991335842,,
55,OL,991335843,,
55,OL,991307409,,
5,DB,991335844,,
28,DB,991307410,,
23,DB,991307411,,
23,DB,991335845,,
21,DB,991335846,,
21,DB,991307412,,
17,LB,991335847,,
17,LB,991307413,,
77,OL,991335848,,
77,OL,991307414,,
11,DB,991307415,,
13,P,991335849,,
13,P,991307416,,
36,RB,991307417,,
68,OL,991307418,,
30,LB,991335850,,
30,LB,991307419,,
16,WR,991307420,,
25,DB,991307421,,
3,WR,991335851,,
3,WR,991307422,,
7,QB,991307423,,
53,DL,991307424,,
9,DB,991307425,,
9,DB,991335852,,
50,LS,991335853,,
50,LS,991307426,,
8,QB,991307427,,
90,DL,991335854,,
90,DL,991307428,,
74,OL,991335855,,
74,OL,991307429,,
0,DB,991335856,,
0,DB,991307430,,
92,DL,991307431,,
87,TE,991307432,,
8,QB,991335857,,
5,QB,991307433,,
34,RB,991307434,,
34,RB,991335858,,
20,RB,991307435,,
91,DL,991307436,,
91,DL,991335859,,
99,DL,991335860,,
99,DL,991307437,,
22,DB,991318343,,
89,WR,991307439,,
58,OL,991307440,,
79,OL,991307441,,
79,OL,991335861,,
33,DB,991335862,,
33,DB,991307442,,
29,DB,991307443,,
29,DB,991335863,,
56,OL,991335864,,
56,OL,991307444,,
39,DB,991318344,,
52,DL,991307445,,
57,DL,991307446,,
57,DL,991335865,,
35,RB,991307447,,
19,WR,991335866,,
19,WR,991307448,,
86,TE,991307449,,
86,TE,991335867,,
48,LB,991326747,,
38,DB,991307450,,
20,DB,991335868,,
98,DL,991318345,,
43,LB,991335869,,
43,LB,991307451,,
47,K,991307452,,
25,K,991335870,,
38,WR,991307453,,
54,OL,991307454,,
51,DL,991335871,,
80,WR,991335872,,
80,WR,991307455,,
67,OL,991307456,,
26,DB,991335873,,
26,DB,991307457,,
40,LB,991307458,,
70,OL,991307459,,
70,OL,991335874,,
72,OL,991335875,,
59,LB,991307461,,
41,DB,991307462,,
69,OL,991307463,,
35,DB,991307464,,
82,TE,991307465,,
62,OL,991307466,,
44,LB,991326748,,
88,TE,991307467,,
44,TE,991335876,,
22,RB,991335877,,
22,RB,991307468,,
10,RB,991335878,,
63,DL,991307469,,
94,DL,991335879,,
94,DL,991307470,,
49,LB,991307471,,
49,LB,991335880,,
16,WR,991335881,,
81,WR,991326749,,
12,QB,991335882,,
12,QB,991307472,,
35,RB,991335883,,
72,OL,991307473,,
39,RB,991307474,,
66,DL,991307475,,
98,DL,991335884,,
84,WR,991335885,,
84,WR,991307476,,
37,DB,991307477,,
83,WR,991307478,,
31,DB,991335886,,
31,DB,991307479,,
27,DB,991307480,,
48,LS,991307481,,
65,OL,991307482,,
42,LB,991307483,,
42,LB,991335887,,
37,WR,991307484,,
31,WR,991307485,,
44,TE,991307486,,
5,P,991311247,,
5,P,991333279,,
13,DL,991333280,,
13,DL,991311248,,
72,OL,991311249,,
29,DB,991333281,,
29,DB,991311250,,
95,DL,991333282,,
4,QB,991333283,,
4,QB,991311251,,
90,DL,991333284,,
90,DL,991311252,,
28,DB,991333285,,
28,DB,991311253,,
79,OL,991311254,,
44,LS,991333286,,
44,LS,991311255,,
15,QB,991311256,,
24,RB,991333287,,
27,RB,991311257,,
6,DB,991333288,,
6,DB,991311258,,
43,DB,991311259,,
47,LB,991311260,,
88,WR,991333289,,
88,WR,991311261,,
59,LB,991333290,,
59,LB,991311262,,
77,OL,991311263,,
75,OL,991311264,,
75,OL,991333291,,
78,OL,991333292,,
78,OL,991311265,,
7,DB,991333293,,
32,DB,991311266,,
42,DB,991324624,,
33,RB,991311267,,
33,RB,991333294,,
1,WR,991333295,,
1,WR,991311268,,
11,DL,991311269,,
51,DL,991311270,,
98,DL,991311271,,
30,DB,991343062,,
30,DB,991311272,,
23,LB,991311273,,
32,LB,991333296,,
97,DL,991333297,,
97,DL,991311274,,
24,DB,991311275,,
87,TE,991333298,,
87,TE,991311276,,
3,WR,991311277,,
3,WR,991333299,,
81,WR,991311278,,
25,DB,991311279,,
20,DB,991311280,,
20,DB,991333300,,
2,DB,991333301,,
2,DB,991311281,,
67,OL,991311282,,
67,OL,991333302,,
99,DL,991333303,,
99,DL,991311283,,
18,LB,991333304,,
18,LB,991311284,,
16,WR,991311285,,
73,OL,991311286,,
73,OL,991333305,,
54,DL,991333306,,
54,DL,991311287,,
57,LB,991311288,,
